Chi^2 Kaon Lines:
chi^2/NDF kaon = 1.89673
chi^2/NDF kaon = 2.43125
chi^2/NDF kaon = 4.41326
chi^2/NDF kaon = 1.90465
chi^2/NDF kaon = 1.61244
chi^2/NDF kaon = 2.1123
chi^2/NDF kaon = 1.86565
chi^2/NDF kaon = 1.98807
chi^2/NDF kaon = 2.77684
chi^2/NDF kaon = 2.30359
chi^2/NDF kaon = 2.26516
chi^2/NDF kaon = 1.71555
chi^2/NDF kaon = 1.83114
chi^2/NDF kaon = 2.89654
chi^2/NDF kaon = 1.70393
chi^2/NDF kaon = 2.43175
chi^2/NDF kaon = 1.73408
chi^2/NDF kaon = 2.15623
chi^2/NDF kaon = 2.07005
chi^2/NDF kaon = 2.41799
chi^2/NDF kaon = 1.9206
chi^2/NDF kaon = 2.23267
chi^2/NDF kaon = 1.41494
chi^2/NDF kaon = 3.23648
chi^2/NDF kaon = 1.89901
chi^2/NDF kaon = 1.80034
chi^2/NDF kaon = 2.27738
chi^2/NDF kaon = 2.83977
chi^2/NDF kaon = 1.40678
chi^2/NDF kaon = 2.52978
chi^2/NDF kaon = 2.15933
chi^2/NDF kaon = 2.78725
chi^2/NDF kaon = 1.54983
chi^2/NDF kaon = 1.75185
chi^2/NDF kaon = 8.97078
chi^2/NDF kaon = 2.21436
chi^2/NDF kaon = 2.30296
chi^2/NDF kaon = 2.40267
chi^2/NDF kaon = 1.68819
chi^2/NDF kaon = 1.95483
chi^2/NDF kaon = 2.79153
chi^2/NDF kaon = 1.97775
chi^2/NDF kaon = 2.25443
chi^2/NDF kaon = 2.9869
chi^2/NDF kaon = 2.06055
chi^2/NDF kaon = 2.00352
chi^2/NDF kaon = 2.73724
chi^2/NDF kaon = 2.95784
chi^2/NDF kaon = 2.47131
chi^2/NDF kaon = 10.3974
chi^2/NDF kaon = 2.05129
chi^2/NDF kaon = 2.12282
chi^2/NDF kaon = 1.86727
chi^2/NDF kaon = 2.29913
chi^2/NDF kaon = 2.35333
chi^2/NDF kaon = 1.3459
chi^2/NDF kaon = 2.98095
chi^2/NDF kaon = 2.48965
chi^2/NDF kaon = 2.42159
chi^2/NDF kaon = 2.85477
chi^2/NDF kaon = 2.31528
chi^2/NDF kaon = 2.24112
chi^2/NDF kaon = 2.3355
chi^2/NDF kaon = 2.43195
chi^2/NDF kaon = 20.1832
chi^2/NDF kaon = 2.18778
chi^2/NDF kaon = 2.36627
chi^2/NDF kaon = 2.0501
chi^2/NDF kaon = 2.04452
chi^2/NDF kaon = 2.58119
chi^2/NDF kaon = 2.36788
chi^2/NDF kaon = 2.26147
chi^2/NDF kaon = 2.41504
chi^2/NDF kaon = 2.1764
chi^2/NDF kaon = 2.08268
chi^2/NDF kaon = 3.12725
chi^2/NDF kaon = 2.49358
chi^2/NDF kaon = 2.1611
chi^2/NDF kaon = 2.12546
chi^2/NDF kaon = 2.55677
chi^2/NDF kaon = 2.39521
chi^2/NDF kaon = 2.33846
chi^2/NDF kaon = 1.486
chi^2/NDF kaon = 2.35512
chi^2/NDF kaon = 2.88895
chi^2/NDF kaon = 2.2389
chi^2/NDF kaon = 2.11712
chi^2/NDF kaon = 2.11379
chi^2/NDF kaon = 1.97932
chi^2/NDF kaon = 2.34515
chi^2/NDF kaon = 2.16938
chi^2/NDF kaon = 2.76762
chi^2/NDF kaon = 2.26902
chi^2/NDF kaon = 2.00837
chi^2/NDF kaon = 1.61282
chi^2/NDF kaon = 2.14741
